Headline,Content,News Categories,Date
Haryana CM announces ₹50 lakh for family of jawan killed in J&K,"Haryana CM Manohar Lal Khattar on Sunday met with the family of Major Aashish Dhonchak, who lost his life in Anantnag encounter in J&K and announced ₹50 lakh compensation. ""Major Aashish Dhonchak was a promising young man. He reached the rank of Major in 11 years of his service,"" CM Khattar said after meeting his family. ",['national'],19-09-2023
"Man caught on video having 'unnatural sex' with dog in Thane, FIR filed","A man in his mid-fifties was allegedly caught on video while having unnatural sex with a dog in Thane's Mumbra, near Mumbai. The accused, identified as Karim, has been booked, Mumbra Police said, adding that he is currently absconding. The incident came to light after a local citizen recorded the alleged act and shared it with animal activists.",['national'],19-09-2023
"Man skydives in US with PM’s pic on Indian map on bday, video out","Union Minister Jyotiraditya Scindia has shared a video showing a man skydiving in US with a picture of PM Narendra Modi on the Indian map on the occasion of the PM's birthday. Sharing the video, Scindia said, ""The love and admiration that Indians hold in their hearts for PM Shri Narendra Modi Ji is indeed special.""","['world', 'national']",19-09-2023
Up to 8% interest subsidy to be given for Vishwakarma Yojana: FM,"Finance Minister Nirmala Sitharaman said the government will give up to 8% interest subsidy for the PM Vishwakarma Yojana. She stated that collateral-free loans of up to ₹3 lakh will be provided under the scheme at an interest rate of 5%. The scheme, which will cover 18 traditional trades, will provide loans in two tranches, she added.","['business', 'national']",19-09-2023
Misleading: Govt on reports of Railways division spending ₹69 lakh to catch rats,"Government has clarified on an RTI response which revealed that ₹69.5 lakh were spent by the Lucknow division of the Indian Railways between 2020 and 2022 to catch 168 rats (around ₹41,000/rat). Calling reports on the RTI reply ""misleading"", PIB said, ""The cost...is preventative in nature."" It added, ""Cost was for...an average of 25,000 coaches/year, i.e., around ₹94/coach per year.""",['national'],19-09-2023
Prayers held in Pak's Kartarpur Sahib Gurdwara on PM Modi's b'day,"Prayers were held in Pakistan's Kartarpur Sahib Gurdwara on the occasion of PM Narendra Modi's 73rd birthday on Sunday. BJP National Secretary Manjinder Singh Sirsa, along with members and officials of different Gurdwara Management Committees were present at the gurdwara. ""Our Sikh leaders' delegation deeply thanks PM [Modi] for making Kartarpur Corridor a reality,"" Sirsa wrote on X.","['world', 'national']",19-09-2023
3 women buried alive in crater after land subsidence at BCCL coal mine in Dhanbad,Three women were buried alive after falling into a crater that developed due to land subsidence in a colliery area of coal company Bharat Coking Coal Limited (BCCL) in Jharkhand's Dhanbad on Sunday. Eyewitnesses said one of the women slipped into a 30-foot crater that developed suddenly and the two others fell into it while trying to rescue her.,['national'],19-09-2023
Tourism unaffected as Nipah virus is contained: Kerala minister,"Kerala minister PA Mohamed Riyas said that tourism remains unaffected as the Nipah virus is contained and the state remains well prepared to tackle it. Riyas said the government has mobilised the medical community and has equipped them with the necessary health infrastructure in Kozhikode, adding that all tourism activities are on track as planned.",['national'],19-09-2023
Heavy to extremely heavy rainfall warning issued for several states for Monday,"The IMD has issued very heavy to extremely heavy rainfall warning for Gujarat for Monday. Heavy to very heavy rainfall is very likely over Rajasthan on Monday. Further, heavy rainfall is very likely over Uttarakhand, Madhya Pradesh, Andaman & Nicobar Islands, Odisha, Assam, Meghalaya, Nagaland, Manipur, Mizoram, Tripura and Goa.",['national'],19-09-2023
Arrest warrant issued against Zareen Khan over 2018 cheating case in Kolkata,"A court in Kolkata has issued an arrest warrant against actress Zareen Khan in connection to an alleged cheating case that was filed against her in 2018, reports said. Reacting to news of the warrant, Khan said, ""I'm surprised...am checking with my lawyer."" Zareen allegedly refused to perform at a Durga Puja event in Kolkata, despite agreeing to it earlier.","['entertainment', 'national']",19-09-2023
4 from T'gana killed as car falls into 200-ft gorge in Maharashtra,"Four bank officials from Telangana were killed and a few others were injured after a car they were travelling in reportedly fell into a 200-feet gorge in Maharashtra's Madki on Sunday. As per reports, the car they were travelling in veered off the road due to low visibility. The injured have been shifted to a hospital for medical treatment. ",['national'],19-09-2023
Indian Army soldier on leave abducted & shot dead in Manipur,"An Indian Army soldier was abducted from his home and shot dead by unidentified armed men in Manipur on Sunday, officials said. The soldier, identified as Sepoy Serto Thangthang Kom, was on leave. According to his 10-year-old son, the only eyewitness to the crime, the accused placed a pistol on his head and forced him into a white vehicle.",['national'],19-09-2023
"Craftsmen made India's economy self-sufficient, productive: FM","Finance Minister Nirmala Sitharaman on Sunday said artisans and craftsmen made India's economy very self-sufficient and productive. ""That is why even 500 years ago, India could be the world leader...whose products were sought after the world over,"" she added. The minister was speaking at the launch of the 'PM Vishwakarma' scheme on the occasion of the Vishwakarma Jayanti.","['business', 'national']",19-09-2023
Santiniketan in Bengal becomes UNESCO World Heritage site,"Santiniketan in West Bengal's Birbhum district has been added to the list of UNESCO World Heritage sites. It was established by poet and Nobel Laureate Rabindranath Tagore's father Maharshi Debendranath Tagore as a meditation centre. It was later expanded by Rabindranath into a university town, with the establishment of the Visva-Bharati University in 1921.",['national'],19-09-2023
"Woman, 19-yr-old daughter arrested for offering namaz at UP temple","A woman and her 19-year-old daughter were arrested for allegedly offering namaz at a temple in UP's Kesarpur village. Police said a maulvi, who assured the two of good fortune if they offered namaz at the temple, was also arrested. The head of Kesarpur village said a video of the incident has been sent to CM Yogi Adityanath's office. ",['national'],19-09-2023
Tourist drowns while bathing near Bhagsu Nag waterfall in Dharamshala,"A 32-year-old tourist from Punjab drowned while bathing near the Bhagsu Nag waterfall in Himachal Pradesh's McLeodganj, police said on Sunday. A video purportedly showing the man getting swept away by the strong currents has surfaced. The deceased's body was recovered about 100 metres down from the place of the incident, Kangra ASP said.",['national'],19-09-2023
Turkey negotiates alternative trade route to IMEC: Reports,"Turkish President Recep Tayyip Erdoğan has reportedly been in ""intensive negotiations"" to suggest an alternative to India-Middle East-Europe Corridor (IMEC), which bypasses Turkey. The alternate 'Iraq Development Road Initiative' will include Turkey, Iraq, Qatar and UAE, and connect Asia to Europe via rail and road routes. The project will be completed in three phases between 2028 and 2050.","['world', 'national']",19-09-2023
"4 of family, including 2 kids, injured in cylinder blast in B'luru","Four members of a family, including two children, were hurt after a domestic cylinder exploded in Bengaluru's Marathahalli area on Sunday, police said. The mother's condition is critical, a police official said. According to reports, upon being alerted by her daughter about the smell of gas, the woman lit up the gas lighter instead of opening the windows. ",['national'],19-09-2023
Pak's Balochistan shuts 500 petrol pumps for smuggling Iran fuel,"Pakistan's Balochistan province has shut down around 500 petrol pumps for illegally supplying cheap Iranian fuel to the people. The crackdown comes as Pakistan's caretaker government announced another hike in the prices of petrol and diesel, taking them to over PKR 330 per litre. Pakistan is witnessing an economic crisis, recording an increase in prices of essential commodities and electricity.","['world', 'national']",19-09-2023
A friend committed to building the future: Italy PM Meloni in birthday wish to PM Modi,"While wishing PM Narendra Modi on his 73rd birthday, Italian PM Giorgia Meloni said, ""Birthday Wishes Narendra Modi. A friend committed to building the future and proud of the history of a great nation close to Italy."" Meloni was among world leaders who visited India recently during the G20 Summit in Delhi. Many Indian leaders also wished PM on Sunday.","['world', 'national']",19-09-2023
Video of women rushing into moving Mumbai train goes viral; people react,"A video of women rushing into a moving Mumbai local train has gone viral. ""All this rush to go for 20K monthly job...No one should risk their life for it,"" an X user said. ""The reason I hated Mumbai and left it,"" said another. ""Affluent...glamorise this as 'spirit of Mumbai'...so common Mumbaikars don't ask for better infrastructure,"" a tweet read.",['national'],19-09-2023
Indian-origin lawyer charged for slapping woman in S'pore temple,"An Indian-origin lawyer has been charged with four different offences for allegedly slapping a woman on her cheek at a Hindu temple in Singapore. The 54-year-old lawyer, Ravi Madasamy, who has already been suspended from practising, was also accused of shouting vulgarities and using indecent language at the temple. Ravi will be produced in court later this month.","['world', 'national']",19-09-2023
India's first transgender OPD launched at Delhi's RML Hospital,"Delhi's Ram Manohar Lohia (RML) Hospital inaugurated India's first transgender Outpatient Department (OPD) today. ""Their numbers in the hospital were negligible, largely due to discomfort...Hence, on PM Narendra Modi's birthday, we have initiated this special OPD,"" hospital's Medical Superintendent Dr Ajay Shukla said. OPD service will be available to transgenders every Friday from 2 pm to 4 pm.",['national'],19-09-2023
